Index,Code,Company,Market Cap,Share Price,Change
201,AZY.AX,Antipa Minerals,94.85M,0.038,0.00%
202,GWR.AX,GWR Group,93.53M,0.31,0.00%
203,MMI.AX,Metro Mining Limited,93.14M,0.067,0.00%
204,TZN.AX,Terramin Australia,93.13M,0.044,0.00%
205,BRV.AX,Big River Gold Limited,92.99M,0.054,0.00%
206,LPI.AX,Lithium Power International,92.91M,0.31,0.00%
207,PEX.AX,Peel Mining,92.24M,0.27,0.00%
208,TTT.AX,Titomic Limited,91.18M,0.595,0.00%
209,MSV.AX,Mitchell Services,90.65M,0.455,0.00%
210,WWI.AX,West Wits Mining,90.42M,0.074,0.00%
211,CHZ.AX,Chesser Resources,90.17M,0.20,0.00%
212,GPR.AX,Geopacific Resources,87.52M,0.40,0.00%
213,TGH.AX,Terragen Holdings Limited,87.28M,0.48,0.00%
214,NML.AX,Navarre Minerals,87.22M,0.16,0.00%
215,MEI.AX,Meteoric Resources NL,86.76M,0.066,0.00%
216,MYE.AX,Mastermyne Group,86.48M,0.815,0.00%
217,MIO.AX,Macarthur Minerals Limited,85.72M,0.635,0.00%
218,ZER.AX,Zeta Resources Ltd,83.42M,0.29,0.00%
219,COB.AX,Cobalt Blue Holdings Limited,83.15M,0.335,0.00%
220,ASN.AX,Anson Resources Limited,83.13M,0.093,0.00%
221,CSD.AX,Consolidated Tin Mines,82.48M,0.125,0.00%
222,AOU.AX,Auroch Minerals Ltd,81.97M,0.305,0.00%
223,KIS.AX,King Island Scheelite,81.72M,0.26,0.00%
224,BC8.AX,Black Cat Syndicate Limited,80.56M,0.73,0.00%
225,INF.AX,Infinity Lithium Corporation Limited,79.97M,0.25,0.00%
226,RXL.AX,Rox Resources,79.94M,0.039,0.00%
227,AML.AX,Aeon Metals,77.92M,0.115,0.00%
228,AHQ.AX,Allegiance Coal,77.55M,0.09,0.00%
229,ATC.AX,Altech Chemicals,77.19M,0.06,0.00%
230,MGT.AX,Magnetite Mines Limited,77.12M,0.027,0.00%
231,FHS.AX,Freehill Mining Limited,77.09M,0.047,0.00%
232,AAR.AX,Anglo Australian Resources NL,76.57M,0.13,0.00%
233,LRS.AX,Latin Resources,76.43M,0.063,0.00%
234,AUC.AX,Ausgold Limited,75.42M,0.058,0.00%
235,BRL.AX,Bathurst Resources Limited,75.22M,0.044,0.00%
236,MEP.AX,Minotaur Exploration,74.91M,0.15,0.00%
237,DRX.AX,Diatreme Resources,74.62M,0.029,0.00%
238,MWY.AX,Midway Limited,73.8M,0.845,0.00%
239,RXM.AX,Rex Minerals,73.37M,0.195,0.00%
240,AVL.AX,Australian Vanadium Limited,73.25M,0.025,0.00%
241,LCL.AX,Los Cerros Limited,72.86M,0.155,0.00%
242,VMS.AX,Venture Minerals,72.47M,0.06,0.00%
243,ARL.AX,Ardea Resources Limited,72.13M,0.565,0.00%
244,CKA.AX,Cokal Limited,72.12M,0.078,0.00%
245,HWK.AX,Hawkstone Mining Limited,69.39M,0.043,0.00%
246,BML.AX,Boab Metals Limited,68.51M,0.45,0.00%
247,BRB.AX,Breaker Resources NL,68.43M,0.21,0.00%
248,VAN.AX,Vango Mining Limited,68.2M,0.066,0.00%
249,HRZ.AX,Horizon Minerals Limited,68.16M,0.12,0.00%
250,KSN.AX,Kingston Resources,68.05M,0.24,0.00%
251,BLY.AX,Boart Longyear,67.71M,0.765,0.00%
252,CAY.AX,Canyon Resources,67.53M,0.11,0.00%
253,JRL.AX,Jindalee Resources,67.21M,1.50,0.00%
254,TI1.AX,Tombador Iron Limited,67.04M,0.089,0.00%
255,NWC.AX,New World Resources Limited,66.32M,0.05,0.00%
256,ESR.AX,Estrella Resources,66.29M,0.073,0.00%
257,TON.AX,Triton Minerals,65.8M,0.058,0.00%
258,PDI.AX,Predictive Discovery,65.09M,0.065,0.00%
259,FML.AX,Focus Minerals,64.88M,0.355,0.00%
260,TRY.AX,Troy Resources,64.39M,0.085,0.00%
261,SUV.AX,Suvo Strategic Minerals Limited,64.21M,0.15,0.00%
262,RTR.AX,Rumble Resources,63.86M,0.12,0.00%
263,HMX.AX,Hammer Metals,63.76M,0.085,0.00%
264,E2M.AX,E2 Metals Limited,63.6M,0.425,0.00%
265,KZR.AX,Kalamazoo Resources Limited,63.51M,0.485,0.00%
266,EUR.AX,European Lithium Limited,62.96M,0.068,0.00%
267,HAV.AX,Havilah Resources Limited,62.79M,0.205,0.00%
268,TAO.AX,Tao Commodities Ltd,62.44M,0.63,0.00%
269,NUS.AX,Nusantara Resources Limited,61.9M,0.27,0.00%
270,MZZ.AX,Matador Mining Limited,61.5M,0.36,0.00%
271,BAT.AX,Battery Minerals Limited,61.24M,0.03,0.00%
272,GML.AX,Gateway Mining,60.92M,0.032,0.00%
273,PDZ.AX,Prairie Mining,60.51M,0.265,0.00%
274,ARD.AX,Argent Minerals,58.71M,0.067,0.00%
275,LER.AX,Leaf Resources Limited,58.52M,0.069,0.00%
276,LOM.AX,Lucapa Diamond Company,58.32M,0.07,0.00%
277,PSC.AX,Prospect Resources,58.12M,0.175,0.00%
278,EM2.AX,Eagle Mountain Mining Limited,57.83M,0.375,0.00%
279,KPT.AX,Kangaroo Island Plantation Timbers,57.82M,1.025,0.00%
280,MRL.AX,Mayur Resources Limited,57.53M,0.295,0.00%
281,QPM.AX,Queensland Pacific Metals Limited,56.91M,0.061,0.00%
282,DGR.AX,DGR Global,56.58M,0.058,0.00%
283,CHK.AX,Cohiba Minerals,55.56M,0.04,0.00%
284,SIH.AX,Sihayo Gold,55.28M,0.015,0.00%
285,S2R.AX,S2 Resources Ltd,55.11M,0.175,0.00%
286,BDM.AX,Burgundy Diamond Mines Limited,54.84M,0.22,0.00%
287,GBZ.AX,GBM Resources,54.13M,0.125,0.00%
288,WKT.AX,Walkabout Resources,54.12M,0.155,0.00%
289,BIS.AX,Bisalloy Steel Group,54.05M,1.19,0.00%
290,KAI.AX,Kairos Minerals Limited,53.64M,0.032,0.00%
291,SGQ.AX,St George Mining,52.87M,0.105,0.00%
292,TMT.AX,Technology Metals Australia Limited,51.63M,0.345,0.00%
293,GAL.AX,Galileo Mining Limited,51.52M,0.36,0.00%
294,BCB.AX,Bowen Coking Coal Limited,50.92M,0.054,0.00%
295,CCZ.AX,Castillo Copper,50.9M,0.05,0.00%
296,DME.AX,Dome Gold Mines,50.44M,0.17,0.00%
297,KLA.AX,Kirkland Lake Gold Ltd,50.2M,50.20,0.00%
298,MTH.AX,Mithril Resources,49.35M,0.021,0.00%
299,KPC.AX,Kazakhstan Potash Corporation,48.88M,0.02,0.00%
300,AKM.AX,Aspire Mining,48.73M,0.096,0.00%
301,SRK.AX,Strike Resources,48.19M,0.195,0.00%
302,SWK.AX,Swick Mining Services,47.85M,0.16,0.00%
303,AUR.AX,Auris Minerals Limited,47.66M,0.10,0.00%
304,POD.AX,Podium Minerals Limited,47.66M,0.17,0.00%
305,TMZ.AX,Thomson Resources,47.49M,0.145,0.00%
306,REE.AX,RareX Limited,46.99M,0.115,0.00%
307,STN.AX,Saturn Metals Limited,46.64M,0.43,0.00%
308,KRR.AX,King River Resources Limited,46.61M,0.03,0.00%
309,ADV.AX,Ardiden Limited,45M,0.021,0.00%
310,HRN.AX,Horizon Gold Limited,44.78M,0.51,0.00%
311,AGS.AX,Alliance Resources,44.72M,0.215,0.00%
312,VII.AX,Vietnam Industrial Investments,44.11M,0.31,0.00%
313,EQR.AX,EQ Resources Limited,43.3M,0.039,0.00%
314,VRC.AX,Volt Resources Limited,43.26M,0.02,0.00%
315,PEC.AX,Perpetual Resources,43.25M,0.096,0.00%
316,ENR.AX,Encounter Resources,42.6M,0.135,0.00%
317,COY.AX,Coppermoly Limited,42.54M,0.02,0.00%
318,CLA.AX,Celsius Resources Limited,42.25M,0.048,0.00%
319,WRM.AX,White Rock Minerals,42.17M,0.58,0.00%
320,MKR.AX,Manuka Resources Limited,42.07M,0.455,0.00%
321,TAS.AX,Tasman Resources,41.56M,0.068,0.00%
322,CLE.AX,Cyclone Metals Limited,40.79M,0.009,0.00%
323,DRE.AX,Dreadnought Resources Ltd,40.71M,0.017,0.00%
324,SKY.AX,Sky Metals Limited,40.7M,0.165,0.00%
325,VXR.AX,Venturex Resources,40.68M,0.105,0.00%
326,CVV.AX,Caravel Minerals,40.59M,0.14,0.00%
327,FFR.AX,Firefly Resources Limited,40.47M,0.135,0.00%
328,EQX.AX,Equatorial Resources,39.82M,0.32,0.00%
329,C6C.AX,Copper Mountain Mining Corporation,39.4M,2.35,0.00%
330,KAU.AX,Kaiser Reef Limited,39.21M,0.405,0.00%
331,VKA.AX,Viking Mines,39.14M,0.043,0.00%
332,VYS.AX,Vysarn Limited,39.07M,0.11,0.00%
333,ELT.AX,Elementos Limited,39.07M,0.012,0.00%
334,AJX.AX,Alexium International,39.02M,0.061,0.00%
335,DKM.AX,Duketon Mining Limited,38.15M,0.315,0.00%
336,MNB.AX,Minbos Resources,36.97M,0.10,0.00%
337,GSN.AX,Great Southern Mining Limited,36.86M,0.081,0.00%
338,GME.AX,GME Resources Limited,36.75M,0.066,0.00%
339,ODY.AX,Odyssey Gold Limited,36.2M,0.08,0.00%
340,AQI.AX,Alicanto Minerals,35.96M,0.11,0.00%
341,CPN.AX,Caspin Resources Limited,35.74M,0.595,0.00%
342,OAR.AX,OAR Resources Limited,35.62M,0.022,0.00%
343,YRL.AX,Yandal Resources Limited,35.51M,0.38,0.00%
344,RCP.AX,Redbank Copper,35.27M,0.086,0.00%
345,AMG.AX,Ausmex Mining Group Limited,35.19M,0.064,0.00%
346,ARE.AX,Argonaut Resources NL,34.95M,0.013,0.00%
347,XAM.AX,Xanadu Mines,34.94M,0.032,0.00%
348,AQX.AX,Alice Queen Limited,34.93M,0.032,0.00%
349,KRM.AX,Kingsrose Mining,34.31M,0.047,0.00%
350,ERM.AX,Emmerson Resources,34.28M,0.071,0.00%
351,CZR.AX,CZR Resources Ltd,34.24M,0.013,0.00%
352,VMC.AX,Venus Metals,33.99M,0.225,0.00%
353,CST.AX,Castile Resources Ltd,33.95M,0.17,0.00%
354,ZNC.AX,Zenith Minerals,33.85M,0.115,0.00%
355,IPT.AX,Impact Minerals,33.84M,0.019,0.00%
356,GMN.AX,Gold Mountain Limited,33.47M,0.045,0.00%
357,AME.AX,Alto Metals Limited,33.16M,0.079,0.00%
358,MCT.AX,Metalicity Limited,33.14M,0.019,0.00%
359,GTE.AX,Great Western Exploration,33.12M,0.285,0.00%
360,AWV.AX,Anova Metals,32.96M,0.024,0.00%
361,PWN.AX,Parkway Minerals NL,32.94M,0.015,0.00%
362,CTO.AX,Citigold Corporation,32.65M,0.012,0.00%
363,MR1.AX,Montem Resources Limited,32.61M,0.20,0.00%
364,SNG.AX,Siren Gold Limited,32.53M,0.545,0.00%
365,ARR.AX,American Rare Earths Limited,32.49M,0.098,0.00%
366,MDI.AX,Middle Island Resources,32.25M,0.265,0.00%
367,SMG.AX,Soon Mining Limited,31.64M,0.20,0.00%
368,CAD.AX,Caeneus Minerals,31.51M,0.008,0.00%
369,CG1.AX,Carbonxt Group Limited,31.2M,0.22,0.00%
370,BSR.AX,Bassari Resources,31.04M,0.013,0.00%
371,NAG.AX,Nagambie Resources Limited,31M,0.062,0.00%
372,HGO.AX,Hillgrove Resources,30.49M,0.036,0.00%
373,WAK.AX,WA Kaolin Limited,30.25M,0.19,0.00%
374,AIV.AX,ActivEX Limited,30.11M,0.17,0.00%
375,HAW.AX,Hawthorn Resources,30.02M,0.09,0.00%
376,LMG.AX,Latrobe Magnesium,29.82M,0.023,0.00%
377,AL8.AX,Alderan Resources Limited,29.79M,0.1025,0.00%
378,MGU.AX,Magnum Mining & Exploration,29.61M,0.079,0.00%
379,SUP.AX,Superior Lake Resources Limited,29.58M,0.18,0.00%
380,DAV.AX,Davenport Resources Limited,29.4M,0.073,0.00%
381,FEL.AX,Fe Limited,29.34M,0.053,0.00%
382,PNX.AX,PNX Metals Limited,29.22M,0.008,0.00%
383,SI6.AX,SI6 Metals Limited,29.21M,0.021,0.00%
384,ICG.AX,Inca Minerals,28.87M,0.077,0.00%
385,STM.AX,Sunstone Metals Limited,28.73M,0.013,0.00%
386,SRN.AX,Surefire Resources NL,28.31M,0.029,0.00%
387,CNJ.AX,Conico Ltd,28.29M,0.034,0.00%
388,CNB.AX,Carnaby Resources Limited,28.28M,0.24,0.00%
389,PTR.AX,Petratherm Ltd,28.25M,0.15,0.00%
390,RDM.AX,Red Metal,28.24M,0.115,0.00%
391,ATR.AX,Astron Corporation Limited,28.17M,0.23,0.00%
392,BSM.AX,Bass Metals,28.15M,0.007,0.00%
393,ACS.AX,Accent Resources NL,27.96M,0.06,0.00%
394,GBE.AX,Globe Metals & Mining,27.96M,0.06,0.00%
395,BEM.AX,Blackearth Minerals NL,27.83M,0.185,0.00%
396,GMR.AX,Golden Rim Resources,27.79M,0.011,0.00%
397,IBG.AX,Ironbark Zinc Limited,27.54M,0.029,0.00%
398,MAN.AX,Mandrake Resources Limited,27.49M,0.084,0.00%
399,JAL.AX,Jameson Resources,27.3M,0.09,0.00%
400,TNR.AX,Torian Resources NL,27.29M,0.035,0.00%
401,ORM.AX,Orion Metals Limited,27.25M,0.05,0.00%
402,GMC.AX,Gulf Manganese Corporation Limited,27.02M,0.0055,0.00%
403,MKG.AX,Mako Gold Limited,27.01M,0.105,0.00%
404,CGN.AX,Crater Gold Mining,27M,0.022,0.00%
405,KWR.AX,Kingwest Resources Limited,26.9M,0.175,0.00%
406,NXM.AX,Nexus Minerals,26.86M,0.11,0.00%
407,MAT.AX,Matsa Resources,26.84M,0.099,0.00%
408,AGR.AX,Aguia Resources,26.66M,0.095,0.00%
409,LCD.AX,Latitude Consolidated,26.51M,0.034,0.00%
410,MAG.AX,Magmatic Resources Limited,26.31M,0.15,0.00%
411,RWD.AX,Reward Minerals,26.25M,0.135,0.00%
412,ASO.AX,Aston Minerals Limited,26.15M,0.03,0.00%
413,ASQ.AX,Australian Silica Quartz Group Ltd,26M,0.097,0.00%
414,LSA.AX,Lachlan Star,25.99M,0.023,0.00%
415,MVL.AX,Marvel Gold Limited,25.94M,0.051,0.00%
416,CWX.AX,Carawine Resources Limited,25.59M,0.235,0.00%
417,EQE.AX,Equus Mining,25.45M,0.014,0.00%
418,HXG.AX,Hexagon Resources,25M,0.083,0.00%
419,MTC.AX,MetalsTech Limited,24.92M,0.17,0.00%
420,4CE.AX,Force Commodities Limited,24.65M,0.025,0.00%
421,DTR.AX,Dateline Resources,24.63M,0.0025,0.00%
422,LEX.AX,Lefroy Exploration Limited,24.6M,0.205,0.00%
423,BTR.AX,Brightstar Resources Limited,24.4M,0.056,0.00%
424,PRX.AX,Prodigy Gold NL,24.39M,0.042,0.00%
425,PUR.AX,Pursuit Minerals Limited,24.27M,0.033,0.00%
