"","Code","company","details","date","close","x52_high","x52_low","x200_ma","x52_chg_pct","avg_vol","pe_ratio_ttm","market_cap_millions","price_book_mrq","enterprise_value_ebitda","total_cash_per_share_mrq","total_debt_equity_mrq","book_value_per_share_mrq","enterprise_value_millions","float_millions","levered_free_cash_flow_ttm_millions","shares_outstanding_millions","percent_held_by_insiders_percent","trailing_annual_dividend_yield_percent","profit_margin_percent","operating_margin_ttm_percent","quarterly_revenue_growth_yoy_percent","return_on_equity_ttm_percent","market_cap_as_factor"
"11","BIS.AX","Bisalloy Steel Group","Bisalloy Steel Group Limited is engaged in the processing and sale of quenched and tempered (Q&T) high-tensile and abrasion resistant steel plates. The Company operates through two geographic segments: Australia and Overseas. The Australian operations consist of Bisalloy Steels Pty Limited and Bisalloy Steel Group Limited. Bisalloy Steels Pty Limited distributes wear-grade and high tensile plate through distributors and directly to original equipment manufacturers in both Australia and Overseas. The Overseas operations include PT Bima Bisalloy and Bisalloy (Thailand) Co Limited. These businesses distribute Bisalloy Q&T plate, as well as other steel plate products. The Overseas operations also include the co-operative joint venture Bisalloy Jigang Steel Plate (Shandong) Co. Ltd, which is engaged in marketing and distribution of Q&T steel plate. The Company has a heat treatment facility at Unanderra near Wollongong.",2021-02-12,1.19,127.5,0.61,2.15,13.33,48594,8.08,52.46,1.36,6.73,0.01,39.42,0.85,72.45,24.59,-4,45.42,46.76,4.2,6.08,8.14,13,17.56,"5"
"12","BSL.AX","BlueScope Steel","BlueScope Steel Limited is a steel manufacturing company. The Company offers metal coated and painted steel building products and is also a supplier of engineered building solutions (EBS) to industrial and commercial markets. It operates through segments: North Star BlueScope Steel(North Star); Australian Steel Products(ASP); Building Products Asia & North America(BP); Buildings North America (BNA), and New Zealand & Pacific Steel (NZPac). North Star is a regional supplier of hot-rolled coil in the United States. ASP produces and markets a coated and painted flat steel products, as well as various commodity flat steel products. BP is a provider of metal coated and painted steel building products. BNA provides engineered building solutions, servicing the non-residential construction needs of customers from an engineering and manufacturing base in North America. NZPac includes the New Zealand Steel, Pacific Steel, New Zealand Minerals and BlueScope Pacific Islands business areas.",2021-02-12,17,18.8,8.03,15.26,26.69,1859489,94.29,8977,1.37,10.09,2.78,18.76,13.02,9370,498.64,128.1,503.78,0.79,0.81,0.85,4.54,0,1.78,"11"
"13","BLD.AX","Boral","Boral Limited is an Australia-based company, which is engaged in the provision of building and construction materials. The Company’s business segments include Boral Australia, USG Boral and Boral North America. Boral Australia includes the construction materials and cement products including quarries, concrete, asphalt, transport, landfill, property, cement and concrete placing and building products including west coast bricks, roofing and masonry, and timber products. USG Boral includes its 50/50 joint venture between USG Corporation and Boral Limited responsible for the manufacture and sale of plasterboard and associated products. Boral North America includes Fly ash, stone, roofing, light building products, windows and its interest in the Meridian Brick joint venture. The major end-use markets for its products include residential and non-residential construction and the engineering and infrastructure markets.",2021-02-12,5.04,5.54,1.68,4.63,6.04,3310655,0,6202,1.39,13.5,0.46,55.92,3.64,8140,974.75,-608.16,1230,17.52,0,-20.57,4.01,-8.7,-22.14,"10"
"14","BKW.AX","Brickworks","Brickworks Limited is engaged in manufacturing a range of building products. The Company is engaged in the development and investment activities. The Company's segments include Building Products Australia, Building Products North America, Property divisions and Investments division. Building Products Australia manufactures vitrified clay, concrete and timber products used in the building industry. Building Products North America manufactures products lines including bricks and masonry blocks used in the building industry. Property division is engaged in the utilization of opportunities associated with land owned by the Company, including the sale of property and investment in Property Trusts. Investments division holds investments in the Australian share market, both for dividend income and capital growth, and includes the investment in Washington H. Soul Pattinson and Company Limited (WHSP).",2021-02-12,19.6,20.45,11.76,18.7,-0.76,252837,9.93,2999,1.23,38.06,1.25,31.65,16.1,3530,75.73,-97.47,151.6,5.78,3.01,31.35,4.95,6,13.8,"9"
"15","CXL.AX","Calix Limited","Calix Limited is a minerals processing company. The Company’s Calix Flash Calciner (CFC) technology is engaged in guiding the development of powder-based approaches to control the spread of pathogens across biologically-sensitive industries, in health, food, agriculture and aquaculture. The Company’s products include ACTI-Mag, AQUA-Cal+, PROTECTA-Mag, and BOOSTER-Mag. Its ACTI-Mag is a concentrated stabilized suspension of magnesium hydroxide, an inorganic compound. AQUA-Cal+TM is used to address problems associated with intense aquaculture, such as disease and pollution, and deliver improved feed performance and yield. PROTECTA-Mag is a concentrated, controlled viscosity, stabilized suspension of magnesium hydroxide liquid (MHL) with binding and curing properties to assist in forming , stable coatings. The Company’s solutions are applicable in odour control, biogas production, sewer manhole, pumping station, prawn farming, and in agriculture.",2021-02-12,1.6,1.8,0.52,1,79.56,364021,0,250.53,9.55,0,0.08,2.61,0.18,240.8,84.76,3.97,148.68,42.12,0,-50.32,-17.46,481.2,-32.89,"6"
"16","CAA.AX","Capral Limited","Capral Limited is an Australia-based company, which is engaged in the manufacturing, marketing and distribution of fabricated and semi-fabricated aluminum related products. The Company produces a range of extruded aluminum products and systems. The Company distributes these manufactured products in addition to a small amount of bought-in-products through over two distribution channels. The Company supplies products to three market segments through each of its distribution channels: residential, commercial and industrial. Through the residential segment, it supplies aluminum and other components for windows and doors, showers and wardrobes, and security products. Through the commercial segment, it supplies aluminum and other components for windows and doors, internal fit outs and other commercial building related products. Through the industrial segment, the Company supplies aluminum extrusions and rolled products for industrial uses.",2021-02-12,5.85,7,2.34,4.99,34.48,14451,11.34,102.36,1.06,8.62,1.5,101.64,5.85,175.95,14.8,19.54,16.56,12.64,2.56,2.32,3.9,-2.8,9.63,"5"
"17","CMM.AX","Capricorn Metals Ltd","Capricorn Metals Limited is a gold explorer and developer, based in Perth, Western Australia. The Company’s exploration and real estate assets held in Madagascar are to be divested, with all funds directed towards gold exploration at Karlawinda. The Karlawinda Project includes is located approximately 65kilometres south of Newman in the Pilbara mining province in Western Australia. The Karlawinda Project includes the Bibra gold deposit and numerous outstanding exploration targets, including the advanced Francopan gold prospect, within an under-explored 290 square kilometer tenement package. The Bibra deposit has a JORC 2012 inferred resource of 18 million tons at the rate 1.1g/t Au for 650,800oz Au contained within an optimized pit design at A$1600/ounce gold price. On February 2016, the Company completed the acquisition of the Karlawinda Gold Project in Western Australia.",2021-02-12,1.7,2.37,0.85,1.81,38.21,495119,0,584.76,5.47,-40.92,0.14,0.25,0.31,510.05,258.58,-30.09,343.98,28.55,0,0,-4333.4,163.2,-20.72,"7"
"18","CYL.AX","Catalyst Metals","Catalyst Metals Limited is engaged in mineral exploration and evaluation. The Company holds interests in advanced gold projects located in Victoria. Its tenements are situated along the 100-kilometer long Whitelaw Fault. The Company's projects include Whitelaw Gold Belt, Tandarra Gold Project, Raydarra Project, Four Eagles Project, Macorna Bore Project and Sebastian Project. The Raydarra Project lies immediately south of the Tandarra Faults and covers a strike length of approximately 10 kilometres on the southern extension of the Whitelaw. The Company's Four Eagles Gold Project is a joint venture between the Company, Providence Gold and Minerals Pty Ltd (Providence) and Gold Exploration Victoria Pty Ltd (GEV). Its Four Eagles Project consists of three prospects: Discovery, Hayanmi and Boyd's Dam. The Macorna Bore Project lies north of the town of Pyramid Hill and straddles the interpreted northern corridor of the Whitelaw and Sebastian Faults.",2021-02-12,2.03,3.4,1.74,2.46,-25.7,52759,0,204.46,7.56,-83.89,0.22,0,0.28,153.06,34.73,-5.02,98.3,60.56,0,-168.29,-177.71,181.8,-8.94,"6"
"19","CHN.AX","Chalice Mining Limited","Chalice Mining Ltd, formerly Chalice Gold Mines Limited, is an Australia-based mining company. The Company is engaged in mineral exploration and Platinum Group Element-Nickel-Copper-Cobalt-Gold discovery. The Company's projects include Pyramid Hill Gold Project, which is located in Victoria, Australia; Julimar Nickel-Copper-PGE Project, which is located in Avon Region, Western Australia and Hawkstone Nickel-Copper-Cobalt Project, which is located in west Kimberley region of Western Australia.",2021-02-12,4.48,4.92,0.14,3.03,1493.22,2338379,0,1603,26.65,-118.72,0.18,0.11,0.18,1390,261.44,-4.24,341.82,17.51,0,0,-2598.9,41.3,-30.3,"9"
"20","CIA.AX","Champion Iron","Champion Iron Limited, formerly Mamba Minerals Limited, is engaged in the exploration and development of iron ore properties in Quebec, Canada. The Company's projects include Consolidated Fire Lake North Project, Snelgrove Lake Project, Powderhorn Lake Project and Gullbridge Property. The Company owns interest in over 12 properties covering approximately 847.5 square kilometers located in the Fermont Iron Ore District of northeastern Quebec. The Snelgrove Lake Project is located in western Labrador and is approximately 55 kilometers southeast of the community of Schefferville, Quebec and approximately 200 kilometers north of Labrador City, Labrador. Powderhorn Lake Project consists of approximately 148 claims covering an area of over 37 square kilometers situated in the Buchans-Robert's Arm Belt in Central Newfoundland. Gullbridge Property consists of approximately 179 claims covering over 45 square kilometers situated in the Buchans Robert's Arm Belt in Central Newfoundland.",2021-02-12,5.42,5.84,1.36,4,138.84,1187917,0,2574,26.97,0,0,35.73,0.19,2570,308.5,0,489.27,24.62,0,30.81,0,92.6,63.65,"9"
"21","CII.AX","CI Resources","CI Resources Limited is engaged in mining, processing and sale of phosphate rock, phosphate dust and chalk. The Company is also involved in the provision of earthmoving, fuel pilotage, maintenance and stevedoring services to other Christmas Island organizations, and operating a palm oil estate, processing and sale of palm oil products. The Company operates through two segments: Mining and Farming. The Mining operating segment involves mining, processing and sale of phosphate rock, phosphate dust and chalk. The Farming operating segment involves oil palm cultivation and palm oil processing. It holds interests in phosphate assets in Australia and palm oil plantations in Malaysia. The Company's subsidiaries include Phosphate Resources Ltd, CI Maintenance Services Pty Ltd, Phosphate Resources Properties Pty Ltd, Indian Ocean Stevedores Pty Ltd, Indian Ocean Oil Company Pty Ltd, Phosphate Resources (Malaysia) Sdn Bhd and Cheekah-Kemayan Plantation Sdn Bhd.",2021-02-12,1.19,1.2,0.75,0.93,-22.61,2104,0,106.33,0.56,5.51,0.45,10.35,1.65,73.63,52.96,1.83,115.58,70.18,1.69,0.03,3.15,-2.2,0.02,"5"
"22","CLV.AX","Clover Corp","Clover Corporation Limited is an Australia-based company, which is engaged in the refining and sale of natural oil. The Company is also engaged in the production of encapsulated powders, and the research and product development of functional food and infant nutrition ingredients. It focuses on developing nutrients for use in foods or as nutritional supplements. The Company provides lipid-based ingredients for the food industry. It focuses on the delivery of bioactive ingredients using encapsulation technology to produce ready-to-blend products containing tuna oil and other nutritional lipids. The Company offers an encapsulated oil and a food grade high docosahexaenoic acid (DHA) oil. It has a technology license for the encapsulation of marine and algal oils. The Company has a manufacturing plant for tuna oils and related products in Altona, Victoria. Its geographical segments include Australia/New Zealand, Asia, Europe and America.",2021-02-12,1.4,3,1.33,1.86,-52.38,434562,18.18,223.69,3.89,12.1,0.06,25.39,0.35,229.06,116.27,1.62,166.31,10.28,1.79,14.15,20.8,19.4,24.32,"6"
"23","C6C.AX","Copper Mountain Mining Corporation","Copper Mountain Mining Corporation is a copper-gold producing company. The Company is engaged in the business of mineral exploration, development and operation of mineral deposits. The Company, through its subsidiary, has interests in the Copper Mountain Mine. The Copper Mountain mine project is situated 20 kilometers south of Princeton, British Columbia, and 300 kilometers east of the port of Vancouver. The Copper Mountain mine project consists of approximately 140 Crown granted mineral claims, over 150 located mineral claims, over 10 mining leases and over 10 properties, covering an area of approximately 70 square kilometers. Its Copper Mountain mine project is a conventional open pit, truck and shovel operation. Its mining equipment fleet includes two Komatsu PC 8000 hydraulic shovels, a Hitachi EX 5500 hydraulic shovel, over 10 Komatsu 240 ton capacity haul trucks, seven Euclid 260 ton haul trucks, a Komatsu WA 1200 loader and four Komatsu D375 dozers.",2021-02-12,2.35,2.6,0.34,1.4,230.94,70560,54.19,508,2.4,0,0,125.11,0.97,448.06,163.72,0,207.5,0,0,-3.84,0,51.5,-4.54,"7"
"24","CRN.AX","Coronado Global Resources Inc.","Coronado Global Resources, Inc. is an Australia-based company that produces, markets and exports a range of metallurgical coals. The Company owns a portfolio of metallurgical coal mines in Queensland, Australia and in the states of Pennsylvania, Virginia and West Virginia in the United States. It operates four segments: Curragh, Buchanan, Logan and Greenbrier. Curragh segment consists of mining assets and operations located in Central Queensland, Australia, produces a variety of metallurgical coal. Greenbrier segment consists of coal mining facilities in the south-eastern region of West Virginia, produces hard coking coal, specifically mid-volatility coal. Logan segment consists of mining interests, coal reserves, and facilities located in Logan County, West Virginia, produces hard coking coal, specifically high-volatility coal. Buchanan segment consists of mining assets and operations located in Buchanan County, Virginia, produces hard coking coal, specifically low-volatility coal.",2021-02-12,1.26,1.99,0.58,0.96,-38.27,2604612,0,1835,1.99,15.05,0.01,38.01,0.61,1970,596.92,-39.27,1520,56.44,2.07,-9.3,-4.23,-29.8,-17.12,"9"
"25","CSR.AX","CSR","CSR Limited (CSR) is engaged in the manufacture and supply of building products in Australia and New Zealand. The Company operates through building products, property and aluminium segments. Its building products include lightweight systems, insulation, inclose facades, bricks, and roofing. Its Property business unit is engaged in the sale of former operating sites by advancing the sites through various stages of the development cycle. In addition, this business is also involved in a small number of large-scale developments in New South Wales, Queensland and Victoria. The Aluminium business unit relates to its interest in Gove Aluminium Finance Limited, which in turn holds an interest in the Tomago aluminum smelter.",2021-02-12,5.48,5.85,2.75,4.62,15.42,0,0,0,2.33,12.13,0.31,15.46,2.33,2740,480.89,94.22,485.38,0.68,1.53,5.39,7.66,-6.5,10.49,"-Inf"
"26","DRR.AX","Deterra Royalties Limited","Deterra Royalties Ltd is an Australia-based royalty investment company. The Company holds a royalty over iron ore produced from specific tenements of BHP's Mining Area C (MAC) province in Western Australia.",2021-02-12,4.5,5.35,3.9,4.54,-0.87,2166925,0,0,0,0,0,0,0,0,0,0,0,20.23,0,0,0,0,0,"-Inf"
"27","DGO.AX","DGO Gold Limited","DGO Gold Limited is engaged in evaluation and exploration of mineral deposits in sediment hosted gold deposits in Australia. The Company is involved in acquiring exploration tenements on gold, copper and zinc exploration. The Company has applied for approximately three sediment hosted gold target areas in the Eastern Goldfields of Western Australia at Mt Edwards, Black Flag and Ora Banda South West. The Mt Edwards is an exploration license application, consisting of over nine contiguous sub blocks, located to the east of the Coolgardie-Norseman highway, approximately 15 kilometers north of the township of Widgiemooltha. The Black Flag is an exploration license application, consisting of over six contiguous sub blocks, to the west of the Kalgoorlie-Menzies highway, approximately 20 kilometers North West of Kalgoorlie. The Ora Banda South West consists of over 10 contiguous prospecting licenses, approximately seven kilometers south west of the township of Ora Banda.",2021-02-12,2.62,4.66,1.18,3.16,50,21684,0,213.3,3.04,-88.1,0.17,0.62,0.95,191.21,28.44,-3.62,73.55,47.52,0,-51.8,-1316.03,66.9,-0.26,"6"
"28","E25.AX","Element 25 Limited","Element 25 Limited, formerly Montezuma Mining Company Limited, is a mineral exploration company. The Company is engaged in carrying out exploration on its tenements and also applies for or acquired additional tenements. Its segments include Australia and France. Its segments are engaged in the determination and assessment of the existence of commercial economic reserves, from the Company's mineral assets in its geographic location. It holds various multi-commodity exploration and mining tenements in Western Australia. Its primary focus is on its approximately 100% owned Yamarna Gold Project, as well as its over 100% owned Holleton Gold Project, which is located approximately 400 kilometers east of Perth. It owns a manganese resource at its approximately 100% owned Butcherbird Project. It has nickel sulfide potential at the Green Dam Project and has a pipeline of business development activities ongoing in France. The Green Dam Project is located east of Kalgoorlie in Western Australia.",2021-02-12,1.85,1.99,0.1,1.08,1071.88,347222,0,234.76,25.29,-47.32,0.07,0,0.07,167.1,61.58,-2.7,132.63,42.98,0,0,-6593.06,-64.3,-24.83,"6"
"29","EMH.AX","European Metals Holdings",NA,2021-02-12,1.26,1.55,0.13,0.7,360.71,345455,69.47,227.57,11.28,-42.33,0,0,0.12,211.78,113.36,-0.1,172.15,25.22,0,1217.68,-2165.62,0,-30.19,"6"
"30","EVN.AX","Evolution Mining","Evolution Mining Limited is a gold company. The Company is engaged in operating, identifying and developing gold-related mining projects in Australia and New Zealand. It owns and operates five wholly-owned mines: Cowal in New South Wales; Mt Carlton, Mt Rawdon, and Cracow, in Queensland; and Mungari in Western Australia. In addition, the Company holds an economic interest in the Ernest Henry copper-gold mine. The Cowal gold operation is an open-pit gold operation located 350 kilometers (km) west of Sydney. Its Mt Carlton operation is located 150km south of Townsville, Queensland. The Mungari gold operation is located 600km east of Perth and 20km west of Kalgoorlie in Western Australia. The Ernest Henry copper-gold operation is operated by Glencore.",2021-02-12,4.62,6.58,3.29,5.44,7.46,8456002,26.59,7997,3.24,8.07,0.22,24.56,1.45,8210,1590,394.11,1710,1.8,3.47,15.53,30.25,38.5,12.38,"11"
"31","FBU.AX","Fletcher Building Limited","Fletcher Building Limited is a holding company. The Company is involved in the manufacturing and distribution of building materials, and residential and commercial construction. Its segments include Building Products, International, Distribution, Residential and Land Development, and Construction. The Building Products segment is a manufacturer, distributor and marketer of building products used both commercially and in residential markets. The International segment includes laminates and panels businesses that manufacture and distribute decorative surface laminates. The Distribution segment consists of building, plumbing, pipeline and steel distribution businesses in Australia and New Zealand. The Residential and Land Development segment develops land holdings for both residential and commercial use, and is a residential home builder. The Construction segment includes Fletcher Construction, a general contractor in New Zealand and the South Pacific.",2021-02-12,5.9,6.25,2.82,4.51,21.3,1678505,0,4928,1.8,0,0,99.35,3.32,4910,817.17,0,824.26,0.78,2.17,-2.68,0,-18.8,-4.77,"10"
"32","FMS.AX","Flinders Mines","Flinders Mines Limited is an iron ore mining company. The Company has various exploration operations of iron mineralization, gold and base metals. The Company's principal activity is the mineral exploration and development. The Company operates in three segments, which include Pilbara Iron Ore, Canegrass Magnetite and Other Minerals. The Company's projects include Pilbara Iron Ore project and Canegrass project. The Pilbara Iron Ore project is located in the Pilbara region of Western Australia, approximately 60 kilometers north-west of the town of Tom Price. The Pilbara Iron Ore project consists of the Blacksmith and Anvil tenements. The Anvil tenement is located approximately 10 kilometers to the south-west of Blacksmith. The Company's Canegrass project is located near located near Mount Magnet, Western Australia. The Canegrass projects tenement package consists of over six granted exploration licenses.",2021-02-12,1.49,1.73,0.43,1.06,31.73,31322,0,258.34,3.96,-33.27,0.02,4.79,0.39,252.29,24.49,-8.12,168.85,85.5,0,0,-26203.45,2800,-12.96,"7"
"33","FMG.AX","Fortescue Metals Group","Fortescue Metals Group Limited (Fortescue) is engaged in the exploration, development, production, processing and sale of iron ore. Fortescue owns and operates a fully integrated infrastructure and supply chain including five berth Herb Elliott Port in Port Hedland, the Judith Street Harbour towage infrastructure and the heavy haul railway covering 620 kilometers (km) of track. The Company is developing the Eliwana Mine and Rail Project and the Iron Bridge Magnetite Project. The Chichester Hub, which includes the Cloudbreak and Christmas Creek mines, is located in the Chichester Ranges. The Solomon Hub is located in the Hamersley Ranges, and includes the Firetail and Kings Valley mines, which produce in excess of 70 million tons per annum (mtpa). Its Iron Bridge project is located over 145 kms south of Port Hedland. Its Eliwana Mine and Rail development includes 143km of rail and a 30mpta dry ore processing facilities.",2021-02-12,23.83,26.4,8.2,19.59,120.89,9325749,15.47,72971,5.51,9.26,1.58,38.61,4.3,75460,1570,4000,3080,48.89,4.97,36.93,53.7,-1.4,39.72,"13"
"34","GXY.AX","Galaxy Resources","Galaxy Resources Limited is an Australia-based company engaged in mineral exploration and processing. The Company's principal activities include the production of Lithium Carbonate and exploration for minerals. Its segments include Australian operation, Argentina operation and Canada operation. The Australia operation segment includes the development and operation of the Mt Cattlin spodumene mine and exploration for minerals. The Argentina operation segment includes the development of the Sal de Vida project and exploration for minerals. The Canada operation segment includes the development of the James Bay project and exploration for minerals. The Mt Cattlin spodumene project is located over two kilometers north of the town of Ravensthorpe in Western Australia. The Sal de Vida Project is located in north-west Argentina. Its James Bay project is located in northwest Quebec, over two kilometers south of the Eastmain River and approximately 100 kilometers east of James Bay.",2021-02-12,2.53,3.29,0.69,1.8,157.82,5301423,0,1401,5.31,-40.87,0.26,10.18,0.52,1030,390.78,11.34,504.06,5.95,0,-206.76,-234.73,-16.7,-45.4,"8"
