"","Code","company","details","date","close","x52_high","x52_low","x200_ma","x52_chg_pct","avg_vol","pe_ratio_ttm","market_cap_millions","price_book_mrq","enterprise_value_ebitda","total_cash_per_share_mrq","total_debt_equity_mrq","book_value_per_share_mrq","enterprise_value_millions","float_millions","levered_free_cash_flow_ttm_millions","shares_outstanding_millions","percent_held_by_insiders_percent","trailing_annual_dividend_yield_percent","profit_margin_percent","operating_margin_ttm_percent","quarterly_revenue_growth_yoy_percent","return_on_equity_ttm_percent"
"11","A1G.AX","African Gold Limited","African Gold Ltd is an Australia-based mineral exploration company. The Company is focused on the identification, development and acquisition of mineral exploration properties in Africa. The Company holds interest in the West and South Mali Gold Projects. The Company’s project includes Cote d’Ivoire and the Agboville Project. It holds 100% interest of 1400 square kilometer (km2) AgbovilleGold Project through its wholly owned subsidiary Golden Ivoire SARL. The Republic of Cote d'Ivoire is located in West Africa, and also has potential for nickel, cobalt, copper, lithium, tantalum, niobium and beryllium deposits.",2021-02-12,0.23,0.28,0.04,0.18,51.72,249806,0,15.76,2.33,-12.79,0.01,0,0.09,11,45.35,-1.78,78.78,78.63,0,0,0,0,-17.16
"12","AMN.AX","Agrimin Limited","Agrimin Limited is an Australia-based company, which is engaged in the exploration and development of its Mackay Sulphate of Potash (SOP) Project located in Western Australia. The Company's Mackay SOP Project comprises approximately seven exploration licenses and covers an area of over 2,560 square kilometers across Lake Mackay. The Project is located in Western Australia, north of the Tropic of Capricorn and is approximately 540 kilometers northwest of Alice Springs, Northern Territory. The project has indicated mineral resources of approximately 4.3 million tons and inferred mineral resources of approximately 18.9 million tons of SOP (based on specific yield) at a Potassium concentration of approximately 3,603 milligrams per liter of brine.",2021-02-12,0.52,0.68,0.16,0.53,24.42,71652,0,117.15,2.97,-54.73,0.04,0.59,0.19,107.84,146.64,-9.01,211.09,22.05,0,0,-847.12,919.7,-6
"13","AGR.AX","Aguia Resources","Aguia Resources Limited is a fertilizer company. The Company is engaged in the exploration and development of resource projects in the resources sector. The Company's projects include Lucena Phosphate Project and Rio Grande Project. The Company's Rio Grande deposit consists of the Tres Estradas, Joca Tavares, and Porteira carbonatite-hosted phosphate and the Cerro Preto sediment-hosted phosphate. The Company's deposits are located in a farming region of approximately 350 kilometers from the state capital porto Alegre. The Company's Tres Estradas project is located in the state of Rio Grande do Sul. The Company's Lucena Phosphate Project (LPP) covers approximately 35,000 hectares, which is located within approximately 50 kilometers radius across the city of Joao Pessoa, Paraiba State in northeastern Brazil. The Company's LPP is located within the Pernambuco-Paraiba basin consisting of Cretaceous-Paleocene sediments covered by the Pleistocene Barreiras Group.",2021-02-12,0.1,0.12,0.04,0.06,-13.64,306822,0,28.06,0.8,-8.81,0.01,0,0.12,24.51,219.11,-5.51,280.6,32.88,0,0,-4390.56,-88.6,-7.74
"14","A1M.AX","AIC Mines Limited","AIC Mines Limited, formerly Intrepid Mines Limited, is a minerals exploration and mining company. Its principal activity is exploration and development of base metals with a focus on assets held in Zambia. Its principal exploration project is in Zambia, where the Company is exploring and developing various mineralized zones. Its Mumbwa Project is located in west-central Zambia, approximately 200 kilometers west of Lusaka. The Mumbwa Project includes over five contiguous prospecting licenses with a total area of approximately 1,000 square kilometers, including the Mumbwa license (8589-HQ-LPL) that hosts its Kitumba Copper Project. The Mumbwa Project lies within the southern end of a fold and thrust belt, Lufilian Arc, which also hosts the Zambian copper belt deposits. Its assets in Zambia target copper and gold. Its other Mumbwa targets include Kakozhi and Tasmania targets. It focuses on advancing the Kitumba Copper Project and exploration on its Mumbwa Project tenements.",2021-02-12,0.32,0.56,0.21,0.4,0,41512,0,21.99,2.11,-3.34,0.1,0,0.15,15.03,35.14,4.28,68.72,51.83,0,0,6600,-75.4,-89.48
"15","AKO.AX","Akora Resources Limited","Akora Resources Ltd is an Australia-based mineral exploration company. It is engaged in the exploration and development of the Bekisopa Project, the Tratramarina Project and the Ambodilafa Project, iron ore projects in Madagascar. The Bekisopa Iron Ore Project consists of three granted research permits (PRs) and one granted small scale mining permit (PRE) covering approximately 93.5 square kilometres (km) and is located approximately 220km from the west coast. The Tratramarina Project is an exploration target with upgradable magnetite iron ore grading over 25-35% Fe and located approximately 16km from the ocean with a potential port/transhipping location south of Mahanoro near the mouth of the Mangoro river. The Ambodilafa Project is an exploration with direct ship hematite mineralization grading approximately 40-65% Fe plus upgradable iron mineralization grading over 25-35% Fe. It is located approximately 45km from the coastal town of Nosy Varika and over 75 km southwest of Mahanoro.",2021-02-12,0.38,0.62,0.3,0.39,-3.85,795884,0,22.09,3.02,0,0.05,0,0.12,11.88,27.93,0,60.53,48.04,0,0,-655619.34,-39.5,0
"16","AUQ.AX","Alara Resources","Alara Resources Limited is a minerals exploration and development company. The Company is engaged in the exploration, evaluation and development of mineral exploration and evaluation in Saudi Arabia and Oman. Its geographic segments include Australia, Saudi Arabia and Oman. The Company's projects include Al Hadeetha Copper-Gold Project, Daris Copper-Gold Projects and Khnaiguiyah Zinc-Copper Project. The Daris Copper-Gold Project is located approximately 170 kilometers northwest of Muscat, Oman. The Daris Copper-Gold Project includes Block 7, which covers an area of approximately 587 square kilometers. The Al Hadeetha Copper-Gold Project includes Washihi, Mullaq and Al Ajal licenses. Its Washihi/Mullaq prospects are located approximately 100 kilometers south-southeast of Daris. The Khnaiguiyah Zinc-Copper Project is located in Saudi Arabia. The Khnaiguiyah project includes the development and operation of an open-cut zinc-copper mine.",2021-02-12,0.02,0.03,0.01,0.02,-6.25,568951,0,10.05,0.42,-81.89,0.01,2.99,0.04,2.41,257.43,-5.36,670.16,58.26,0,42.62,-6.07,131.6,-0.07
"17","ALY.AX","Alchemy Resources","Alchemy Resources Limited is an Australia-based gold and base metal exploration company engaged in the exploration for copper and gold. The Company is engaged in the discovery and development of gold and base metal resources at its portfolio of projects within Australia. The Company's projects include Lachlan projects, Karonie project and Bryah Basin project. The Lachlan Projects consist of the Overflow Gold-Base Metal Project (Overflow), the Eurow Copper-Gold Project (Eurow) and the Girilambone Copper Project (Girilambone). Each of these projects contains identified gold and/or base metal targets, including drill-ready priority targets at Overflow. The Karonie Project, located over 100 kilometers east of Kalgoorlie, includes over 230 square kilometers of Archean greenstone belt in the Eastern Goldfields in Western Australia. Its Bryah Basin Project consists of over 500 square kilometers ground package, located over 130 kilometers northeast of Meekatharra, Western Australia.",2021-02-12,0.02,0.03,0.01,0.02,81.82,959231,0,12.77,1.58,-30.72,0,0,0.01,11.9,283.83,-0.76,672.24,59.21,0,0,0,0,-6.59
"18","AL8.AX","Alderan Resources Limited","Alderan Resources Ltd is a metal exploration company, which is focused on securing, exploring for and developing base and precious metal projects. The Frisco project is located in Beaver County, Utah, United States and is situated approximately 22.5 kilometer to the west of the town of Milford. The Company’s Frisco project has three exploration prospects including Cactus copper-gold silver, accrington copper zinc lead silver gold and horn zinc lead silver. Cactus copper gold silver deposit and breccia pipe, one of several mineralized breccia pipes over an area of approximately 1000 meters by 400 meters. Accrington copper zinc lead silver gold prospects skarn which hosts extensive mineralization across an area of 1.8 kilometers by 1.2 kilometers, with widespread historical mining activity and historical drilling. Horn zinc lead silver prospect is a historic lead silver mine, which contains significant amounts of unmined high grade zinc.",2021-02-12,0.1,0.21,0.01,0.12,469.44,421713,0,29.79,2.22,-14.89,0.01,0,0.05,23.88,158.57,-1.61,297.94,43.41,0,0,-894130.66,-87.8,-15.78
"19","ARN.AX","Aldoro Resources Limited","Aldoro Resources Ltd is a Mineral exploration company. The Company is established for a primary purpose of acquiring exploration interests in Western Australian tenements, and exploring and developing The Ryan’s Find, Kalgarin, Cathedrals, Leinster, Penny South Gold, Narndee Project Area, Windimurra Igneous Complex and other mineral exploration projects. The Ryan’s Find Project comprises of low grade nickel-in-laterite and nickel sulphide mineralization activities and is located 400kilometers (KM) eastnortheast of Perth, between the towns of Coolgardie and Southern Cross. The Leinster Project is prospective for nickel sulphide mineralization and is located 280 km north-northwest of Kalgoorlie and 90km northwest of the town of Leonora in the Goldfields Region of Western Australia. The Karlgarin Project comprises of Ni-Co mineralization in the Central Wheatbelt. The Cathedrals Project targets only Ni-Cu-Co mineralization activities",2021-02-12,0.3,0.34,0.06,0.14,26.67,747916,0,21.8,2.43,-21.61,0.03,0,0.11,15.72,44.19,-0.62,80.76,43.96,0,0,0,0,-34.58
"20","AJX.AX","Alexium International","Alexium International Group Limited is engaged in conducting research and development on technology, licensing its intellectual properties and selling its specialized chemistry to customers. The Company is also engaged in the development and licensing of its flame retardant (FR) chemicals and reactive surface treatment (RST) technologies. The Company's products include Alexiflam FR, which is an FR for synthetic and synthetic-blend fabrics; Alexiflam SYN, which is an FR solution designed for the textile and resin markets; Alexiflam NF, which is an FR treatment for cotton and cotton-blends; Alexicool, which is a chemical finish for fabrics that absorb heat; Alexiflam PB, which is a halogenated FR, and Alexiflam AD, which is a combination of synergistic flame-retardants for treatment of a range of fabric blends and constructions. The Company markets its products to defense, automotive and transportation, outdoor, home furnishings, and plastics and resins industries.",2021-02-12,0.06,0.1,0.03,0.06,1.69,2947314,0,38.38,6.67,-15.58,0.01,64.98,0.01,36.85,460.85,-3.67,639.6,17.28,0,-100.77,-44.62,-17.3,-210.84
"21","AQI.AX","Alicanto Minerals","Alicanto Minerals Limited is a mineral exploration company. The Company focuses on the exploration and development of the Arakaka Gold Project in Guyana, South America. The Arakaka Gold project covers an area of over 300 square kilometers within the Northern Guiana Shield Geological Terrane. The Arakaka Gold Project comprises Arakaka Main Trend, Gomes-Ianna Trend and Eyelash Area. Arakaka Main Trend is approximately 12 kilometers long trend of gold anomalism. It consists of approximately six target and completed work on the 14-Mile, Purple Heart, Pepperpot, Powis and Goat Hill target areas. Gomes-Ianna Trend is a conjugate mineralized corridor hosting an open-ended covering an area of approximately 11 kilometers of surface gold anomalism. Eyelash Area is approximately five kilometers and 100 part per billion gold (Au) anomaly. The Company has an agreement to hold interest in Ianna Gold Project, which is located in Barama-Mazaruni Greenstone Belt in Guyana's Northwest District.",2021-02-12,0.11,0.22,0.03,0.14,48.81,617328,0,37.59,7.19,-20.83,0.01,0,0.02,29.86,164.29,-1.24,326.92,37.81,0,0,-537.05,-38.9,-61.77
"22","AQX.AX","Alice Queen Limited","Alice Queen Limited, formerly Callabonna Resources Limited, is an exploration company. The Company is engaged in mineral exploration. The Company holds interests in two exploration projects: the Horn Island Gold Project, which is located in the Torres Strait, Queensland (Horn Island), and the Looking Glass Copper/Gold Project, on the Molong Volcanic Arc in northern New South Wales (NSW). The Horn Island (Ngurupai) project lies in the Kaurareg Archipelago of the Torres Strait, north of Cape York Peninsula. The Horn Island Gold Project is a brownfields gold project prospective for gold bearing Carbo-Permian style vein/breccia. It comprises of Exploration Permit EPM 25520, as well as Exploration Permit EPM 25418. The Looking Glass project is located in the Lachlan Fold Belt porphyry province. In NSW, the Company has two projects situated on the Molong Volcanic Arc, being Looking Glass (EL 8225) and Mendooran (ELA 5207).",2021-02-12,0.03,0.05,0.01,0.03,-5.71,2107421,0,30.74,2.06,-23.63,0,0.33,0.02,32.96,731.27,-3.26,1090,33.26,0,0,-1588.87,6857.7,-13.1
"23","ALK.AX","Alkane Resources Limited","Alkane Resources Limited is an Australia-based multi-mine gold producing company. The Company’s projects include Tomingley Gold Project and Northern Molong Porphyry Project (NMPP). The Tomingley Gold Project covers an area of approximately 440 square kilometer (km), stretching 60km north-south along the Newell Highway in central-western New South Wales. The Northern Molong Porphyry Project (NMPP) covers an area of approximately 115 square km, centered approximately 20km north of Wellington and about 35km east of Dubbo in central western New South Wales. The Company’s exploration projects are located in central western New South Wales, which includes gold, gold-copper and other metal (nickel, zinc and silver) prospects. The Company’s gold production is from the Tomingley Gold Operations in Central West New South Wales. Its exploration projects are in the tenement area between Tomingley and Peak Hill.",2021-02-12,0.78,1.54,0.47,1.1,-16.76,2099718,33.91,464.4,1.69,14.47,0.08,2.47,0.46,422.56,374.73,-160.83,595.39,38.31,0,17.59,27.06,0,5.55
"24","AHQ.AX","Allegiance Coal","Allegiance Coal Limited is an Australia-based company engaged in the acquisition and exploration of coal tenements. The Company is focused on developing and mining metallurgical coal projects in North America and Western Canada. The Company’s investment focus is on near production, or producing steelmaking coal projects. The Company’s projects include Tenas, New Elk, Kilmain and Back Creek. The Company is developing the Tenas metallurgical coal project, located in northwest British Columbia. The New Elk hard coking coal mine is a fully permitted and constructed mine located in southeast Colorado, United States.",2021-02-12,0.09,0.13,0.05,0.07,-23.2,1737902,0,67.57,4.4,0,0,27.62,0.03,57.97,201.69,0,861.67,36.8,0,0,-17253.78,-70.3,0
"25","AGS.AX","Alliance Resources","Alliance Resources Limited is engaged in the sale of its interest in the Four Mile Uranium Project in South Australia, exploring its projects in Chile and applying for additional mineral exploration tenements in Western Australia and New South Wales. The Company's Gundockerta South Nickel-Copper-Gold Project is located over 70 kilometers east of Kalgoorlie. Its Mt Pleasant Molybdenum-Tungsten-Copper Gold Project includes Exploration license 5277, which is located over 30 kilometers south of Mudgee and contains the Mt Pleasant porphyry style molybdenum-tungsten occurrence. Its Garema Gold Project is located over 30 kilometers south of Forbes. Its Bogan Gate West Gold-Base Metals Project is located in New South Wales. The Company also operates Chilean Copper-Gold-Silver-Uranium Projects and Western Australian Nickel-Copper-Gold Projects. It has completed a drilling program targeting copper and uranium at the Monardes project, located in Atamaca Region III in northern Chile.",2021-02-12,0.22,0.26,0.08,0.2,100,55791,0,49.92,2.86,-29.95,0.01,0.84,0.08,41.36,54.65,-3.49,208.02,73.25,0,0,-9473.68,-68.3,-11.95
"26","A4N.AX","Alpha HPA Limited","Alpha HPA Ltd, formerly Collerina Cobalt Limited is engaged in delivering High Purity Alumina (HPA). The Company has interests in exploration projects in Indonesia and Australia. The Company operates in two geographical segments, which include minerals exploration in Indonesia. Its focus is on cobalt, nickel copper and gold projects. The Company holds interest in the Wonogiri project, which covers an area of approximately 3,928 hectares and is located in central Java. The Company's Gorontalo Properties consists of four copper and gold tenements located in northern Sulawesi, which include Tapadaa, Toluludu, Biyonga and Tahele. The Company's Collerina project is located approximately 40 kilometers south of Nyngan in central New South Wales, covering an area of approximately 150 square kilometers within the Fifield Platinum Province. The tenement contains the Homeville nickel-cobalt deposit.",2021-02-12,0.44,0.48,0.09,0.3,108.7,1016867,0,315.03,28.44,-31.55,0.01,0,0.02,301.04,382.26,-7.67,692.38,39.27,0,0,-3073.16,-66.2,-130.66
"27","AZI.AX","Alta Zinc Limited","Alta Zinc Ltd, formerly Energia Minerals Limited, is engaged in mineral exploration and development. The Company is engaged in exploration of a suite of tenements located throughout Italy and Australia. Its geographical segments include Western Australia, Italy and Other. Its flagship projects are the Gorno Zinc-Lead-Silver project in Northern Italy and the Carley Bore uranium project in north Western Australia. Its projects include Northern Territory projects, including McArthur River Project, which covers an area of over 1,610 square kilometers and Novazza-Val Vedello Uranium project, which includes its two uranium Exploration License applications, at Val Vedello and Novazza in the Lombardia region of Italy. Its Australian projects include Nyang Project and the Carley Bore Project, which consist of three Exploration Licenses E08/1644, E08/1645 and E08/1646, and its three tenements cover an area of over 1,536 square kilometers.",2021-02-12,0.01,0.01,0,0.01,-25,7337870,0,21.66,0,-5.11,0,49.54,0,19.51,2480,0.03,3610,36.05,0,0,0,0,-302.61
"28","ATC.AX","Altech Chemicals","Altech Chemicals Limited is engaged in the research and development activities for the commercialization of its aluminous clay (kaolin) deposit at Meckering, Western Australia. The Company is also engaged in the development of high purity alumina (HPA) manufacturing and mineral exploration. The Company's projects include HPA Project. The Company is a supplier of approximately 99.99% (4N) HPA (Aluminum oxide (Al2O3)). The Company also has 100%-owned kaolin deposit in Meckering, Western Australia, located approximately 130 kilometers from Perth. It employs a conventional hydrochloric acid (HCl)-based technology to produce HPA from kaolin clay. The Company's HPA process is an acid-based HCl process with crystallization and acid recovery. The Company's subsidiaries include Altech Chemicals Sdn Bhd, Altech Meckering Pty Ltd, Yilgarn Iron Pty Ltd, Canning Coal Pty Ltd, Australia Mineral Sands Pty Ltd, Musselbrook Iron Pty Ltd and Altech Chemicals Australia Pty Ltd.",2021-02-12,0.06,0.08,0.02,0.05,-27.38,7525164,0,75.9,0.75,-26,0,0,0.08,51.28,581.84,-7.45,1290,33.03,0,0,-218.04,0,-5.33
"29","AME.AX","Alto Metals Limited","Alto Metals Limited, formerly Enterprise Uranium Limited, focuses on gold and uranium exploration in Australia. The Company is principally engaged in the exploration of a number of gold and uranium tenements in Western Australia. It holds interest in various gold and uranium projects, which include Sandstone Gold Project; Cue Gold and Base Metals Project; Byro Project; Yalgoo Project; Peranbye Project, and Harris Lake Project. The Sandstone Gold Project is located approximately 600 kilometers northeast of Perth in the East Murchison Mineral Field in Western Australia. The Byro Project is located approximately 250 kilometers northeast of Geraldton and approximately 600 kilometers north of Perth in the Murchison Province of Western Australia. The Yalgoo Project is located around the township of Yalgoo in the Murchison region of Western Australia and is approximately 400 kilometers north of Perth. The Peranbye Project is approximately 300 kilometers north of Perth.",2021-02-12,0.08,0.15,0.03,0.1,126.47,821484,0,33.16,2.14,-18.22,0,2.3,0.04,23.61,52.23,-1.49,419.72,64.75,0,0,-2274.78,605.8,-12.54
"30","AJM.AX","Altura Mining","Altura Mining Limited is an Australia-based company engaged in the supply of lithium raw materials. The Company is engaged in the exploration and development activities, including completion of a feasibility study at its Pilgangoora Lithium project in the Pilbara region of Western Australia. The Company's segments include coal mining, exploration services and mineral exploration. Its coal mining segment is engaged in the sale of coal. Its exploration services segment provides a range of drilling services to its customers, primarily mining and exploration companies. Its mineral exploration segment is engaged in exploration activities. The Company also has interests in producing Delta Coal project in Indonesia, which produces medium energy thermal coal, and the Tabalong Coal project, a thermal coal deposit located in South Kalimantan, Indonesia. The Tabalong Coal project consists of approximately five mining licenses.",2021-02-12,0.07,0.07,0.03,0.07,11.11,0,0,209.04,1.75,30.84,0,192.66,0.04,363.4,1200,-96.48,2990,49.83,0,-49.88,1.46,12317.6,-50.2
"31","AWC.AX","Alumina","Alumina Limited invests in bauxite mining, alumina refining and selected aluminum smelting operations. The Company's business undertaking is in the global bauxite, alumina and aluminum industry, which it conducts principally through bauxite mining and alumina refining, with some minor alumina-based chemicals businesses, aluminum smelting and the marketing of those products. The Company conducts these business activities through its joint venture, Alcoa World Alumina & Chemicals (AWAC). AWAC is a producer of alumina and miner of bauxite. AWAC operates mines integrated with alumina refineries in Western Australia and Brazil. Other refineries operate in Spain and Texas in the United States. AWAC operates approximately six alumina refineries and one aluminum smelter.",2021-02-12,1.69,2.24,1.29,1.63,-21.66,12162588,54.22,5034,3.13,0,0.01,6.89,0.56,5070,2330,-9.57,2900,19.02,3.76,23400,-3150,-95.5,5.29
"32","ANL.AX","Amani Gold Limited","Amani Gold Limited, formerly Burey Gold Limited, is an Australian-based mineral exploration company. The Company holds interest in the Giro Gold Project in the Haut-Uele Province, north-east Democratic Republic of Congo in Central Africa. The Company is engaged in acquiring and exploring mineral interests, prospective for precious metals and energy. The Giro Project comprises over two exploration permits covering an area of approximately 500 square kilometers and lies within the Kilo-Moto greenstone belt. The tenements are approximately 30 kilometers west of Kibali Gold deposits. The Giro Project area is underlain by prospective volcano-sedimentary lithologies. Its 22,200 meters program will include over 5,000 meters reverse circulation (RC) resource drilling program at Kebigada prospect; approximately 1,500 meters diamond drilling at Kebigada to test depth extension to mineralization, and 3,200 meters program at Douze Match.",2021-02-12,0,0,0,0,0,13170079,0,9.39,0.2,0.06,0,15.15,0,-0.24,5330,-8.87,9390,33.91,0,0,-495.29,20511600,-20.52
